Time Step,Label Index,Name (NA),Voxel count,Volume (nmÂ³),Feret Max (nm),Sphericity,Cross-Indexing,Center Of Mass Index Z,Center Of Mass Z (nm)
0,1,251214-Air ROI 193,18,18000,48.98878308,0.954779311,10,525,5247.777778
0,2,251214-Air ROI 44,43,43000,83.61408935,0.829918774,23,494,4937.209302
0,3,251214-Air ROI 193,62,62000,74.82442288,0.886190483,10,524,5242.258065
0,4,251214-Air ROI 178,65,65000,72.79384461,0.8141326,13,451,4505.384615
0,5,251214-Air ROI 195,69,69000,83.63528973,0.850671955,9,698,6975.507246
0,6,251214-Air ROI 195,70,70000,78.72910409,0.820955032,9,694,6944.285714
0,7,251214-Air ROI 180,77,77000,98.96826796,0.806118282,11,704,7042.337662
0,8,251214-Air ROI 178,79,79000,81.20936709,0.92531576,13,449,4488.987342
0,9,251214-Air ROI 176,87,87000,87.73608823,0.908581826,15,565,5653.448276
0,10,251214-Air ROI 44,88,88000,89.99610888,0.810393166,23,491,4909.545455
0,11,251214-Air ROI 22,114,114000,126.6853446,0.780492975,2,417,4173.947368
0,12,251214-Air ROI 177,116,116000,84.49708011,0.91703947,14,510,5100.689655
0,13,251214-Air ROI 176,117,117000,102.9411491,0.847703297,15,567,5665.897436
0,14,251214-Air ROI 180,125,125000,83.05703547,0.869660957,11,707,7067.68
0,15,251214-Air ROI 45,136,136000,92.17711597,0.90352393,22,501,5007.647059
0,16,251214-Air ROI 55,143,143000,94.3116471,0.89225403,18,624,6236.573427
0,17,251214-Air ROI 54,152,152000,85.88600138,0.953478559,19,639,6386.644737
0,18,251214-Air ROI 54,156,156000,94.33931948,0.87940285,19,638,6380.576923
0,19,251214-Air ROI 177,168,168000,98.96575097,0.932206795,14,507,5074.940476
0,20,251214-Air ROI 174,186,186000,107.6736322,0.898386392,17,689,6889.516129
0,21,251214-Air ROI 45,205,205000,117.0458393,0.861470288,22,503,5025.95122
0,22,251214-Air ROI 55,211,211000,100.3828305,0.97483267,18,620,6204.170616
0,23,251214-Air ROI 22,216,216000,148.5560992,0.733513934,2,418,4181.435185
0,24,251214-Air ROI 48,219,219000,96.41239832,0.938376082,20,595,5953.69863
0,25,251214-Air ROI 48,250,250000,96.95052752,0.973841048,20,596,5962.72
0,26,251214-Air ROI 174,251,251000,118.7380791,0.920075088,17,688,6877.410359
0,27,251214-Air ROI 27,284,284000,137.4724564,0.816394374,25,453,4530.633803
0,28,251214-Air ROI 175,296,296000,104.4657925,0.971983657,16,670,6703.75
0,29,251214-Air ROI 47,296,296000,114.4228016,0.951243804,21,588,5876.216216
0,30,251214-Air ROI 175,297,297000,108.1544241,0.954894786,16,671,6713.097643
0,31,251214-Air ROI 28,326,326000,115.7359266,0.950292256,6,463,4629.386503
0,32,251214-Air ROI 28,362,362000,115.7581851,0.964775623,6,459,4591.325967
0,33,251214-Air ROI 47,401,401000,115.7581463,0.951572024,21,588,5875.236908
0,34,251214-Air ROI 29,414,414000,148.6606107,0.794766326,24,471,4713.067633
0,35,251214-Air ROI 26,491,491000,130.3775109,0.90119068,5,430,4300.936864
0,36,251214-Air ROI 29,504,504000,142.4670251,0.937221772,24,469,4686.825397
0,37,251214-Air ROI 30,527,527000,141.4133815,0.945594136,7,470,4699.753321
0,38,251214-Air ROI 30,530,530000,142.4677219,0.889385339,7,473,4730.981132
0,39,251214-Air ROI 25,553,553000,136.0144889,0.850625027,4,436,4364.231465
0,40,251214-Air ROI 25,613,613000,136.3789021,0.922177944,4,431,4306.998369
0,41,251214-Air ROI 27,628,628000,145.9335417,0.91565967,25,446,4464.315287
0,42,251214-Air ROI 24,685,685000,226.4941882,0.704896303,3,412,4123.138686
0,43,251214-Air ROI 26,747,747000,152.9198385,0.853782306,5,435,4354.80589
0,44,251214-Air ROI 21,827,827000,161.5532907,0.803039526,1,393,3925.792019
0,45,251214-Air ROI 179,828,828000,179.3498202,0.797043963,12,376,3759.227053
0,46,251214-Air ROI 24,1106,1106000,234.7835598,0.776650505,3,407,4074.484629
0,47,251214-Air ROI 179,1173,1173000,188.6644599,0.83167648,12,373,3732.86445
0,48,251214-Air ROI 210,1608,1608000,305.891538,0.78889944,8,408,4075.615672
0,49,251214-Air ROI 21,1684,1684000,223.1054944,0.7707917,1,396,3957.880048
0,50,251214-Air ROI 210,1717,1717000,305.4317753,0.78730325,8,412,4121.450204
0,51,251214-Air ROI 20,2214,2214000,304.7414216,0.685746313,26,402,4016.341463
0,52,251214-Air ROI 20,2453,2453000,286.1682319,0.785644717,26,401,4012.372605
